Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02   River: 1   Reach: 1 - Error Loading Profile Table. Too many rows for this table, reduce the number of reaches or profiles requested.
 1                516330           28FEB2011 1200    11539.11 
 1                516330           01MAR2011 0000    12374.46 
 1                516330           01MAR2011 1200    12983.27 
 1                516330           02MAR2011 0000    13592.08 
 1                516330           02MAR2011 1200    14186.74 
 1                516330           03MAR2011 0000    14781.39 
 1                516330           03MAR2011 1200    15517.63 
 1                516330           04MAR2011 0000    16253.87 
 1                516330           04MAR2011 1200    16706.94 
 1                516330           05MAR2011 0000    17160.01 
 1                516330           05MAR2011 1200    18066.14 
 1                516330           06MAR2011 0000    18972.28 
 1                516330           06MAR2011 1200    19269.61 
 1                516330           07MAR2011 0000    19566.94 
 1                516330           07MAR2011 1200    19765.15 
 1                516330           08MAR2011 0000    19963.37 
 1                516330           08MAR2011 1200    20558.03 
 1                516330           09MAR2011 0000    21152.68 
 1                516330           09MAR2011 1200    21903.08 
 1                516330           10MAR2011 0000    22653.48 
 1                516330           10MAR2011 1200    22964.96 
 1                516330           11MAR2011 0000    23276.44 
 1                516330           11MAR2011 1200    23432.19 
 1                516330           12MAR2011 0000    23587.93 
 1                516330           12MAR2011 1200    23715.35 
 1                516330           13MAR2011 0000    23842.78 
 1                516330           13MAR2011 1200    24041.00 
 1                516330           14MAR2011 0000    24239.21 
 1                516330           14MAR2011 1200    24154.26 
 1                516330           15MAR2011 0000    24069.31 
 1                516330           15MAR2011 1200    24239.22 
 1                516330           16MAR2011 0000    24409.12 
 1                516330           16MAR2011 1200    24607.34 
 1                516330           17MAR2011 0000    24805.55 
 1                516330           17MAR2011 1200    24720.60 
 1                516330           18MAR2011 0000    24635.65 
 1                516330           18MAR2011 1200    24848.03 
 1                516330           19MAR2011 0000    25060.41 
 1                516330           19MAR2011 1200    25216.15 
 1                516330           20MAR2011 0000    25371.89 
 1                516330           20MAR2011 1200    25570.11 
 1                516330           21MAR2011 0000    25768.32 
 1                516330           21MAR2011 1200    25711.69 
 1                516330           22MAR2011 0000    25655.06 
 1                516330           22MAR2011 1200    25810.80 
 1                516330           23MAR2011 0000    25966.54 
 1                516330           23MAR2011 1200    26108.13 
 1                516330           24MAR2011 0000    26249.71 
 1                516330           24MAR2011 1200    26405.46 
 1                516330           25MAR2011 0000    26561.20 
 1                516330           25MAR2011 1200    26716.94 
 1                516330           26MAR2011 0000    26872.68 
 1                516330           26MAR2011 1200    26957.63 
 1                516330           27MAR2011 0000    27042.58 
 1                516330           27MAR2011 1200    27212.49 
 1                516330           28MAR2011 0000    27382.38 
 1                516330           28MAR2011 1200    27212.49 
 1                516330           29MAR2011 0000    27042.58 
 1                516330           29MAR2011 1200    27198.33 
 1                516330           30MAR2011 0000    27354.07 
 1                516330           30MAR2011 1200    27509.81 
 1                516330           31MAR2011 0000    27665.55 
 1                516330           31MAR2011 1200    27807.14 
 1                516330           01APR2011 0000    27948.72 
 1                516330           01APR2011 1200    27991.20 
 1                516330           02APR2011 0000    28033.67 
 1                516330           02APR2011 1200    28189.41 
 1                516330           03APR2011 0000    28345.16 
 1                516330           03APR2011 1200    28146.94 
 1                516330           04APR2011 0000    27948.72 
 1                516330           04APR2011 1200    27608.92 
 1                516330           05APR2011 0000    27269.12 
 1                516330           05APR2011 1200    27113.38 
 1                516330           06APR2011 0000    26957.63 
 1                516330           06APR2011 1200    26787.73 
 1                516330           07APR2011 0000    26617.83 
 1                516330           07APR2011 1200    26419.61 
 1                516330           08APR2011 0000    26221.39 
 1                516330           08APR2011 1200    26136.45 
 1                516330           09APR2011 0000    26051.49 
 1                516330           09APR2011 1200    25683.38 
 1                516330           10APR2011 0000    25315.26 
 1                516330           10APR2011 1200    24904.66 
 1                516330           11APR2011 0000    24494.07 
 1                516330           11APR2011 1200    24055.16 
 1                516330           12APR2011 0000    23616.24 
 1                516330           12APR2011 1200    23219.81 
 1                516330           13APR2011 0000    22823.37 
 1                516330           13APR2011 1200    22483.57 
 1                516330           14APR2011 0000    22143.77 
 1                516330           14APR2011 1200    21903.08 
 1                516330           15APR2011 0000    21662.38 
 1                516330           15APR2011 1200    21435.85 
 1                516330           16APR2011 0000    21209.31 
 1                516330           16APR2011 1200    21067.73 
 1                516330           17APR2011 0000    20926.14 
 1                516330           17APR2011 1200    20883.67 
 1                516330           18APR2011 0000    20841.20 
 1                516330           18APR2011 1200    20883.67 
 1                516330           19APR2011 0000    20926.14 
 1                516330           19APR2011 1200    20926.14 
 1                516330           20APR2011 0000    20926.14 
 1                516330           20APR2011 1200    21025.25 
 1                516330           21APR2011 0000    21124.36 
 1                516330           21APR2011 1200    21209.31 
 1                516330           22APR2011 0000    21294.27 
 1                516330           22APR2011 1200    21450.01 
 1                516330           23APR2011 0000    21605.75 
 1                516330           23APR2011 1200    21690.70 
 1                516330           24APR2011 0000    21775.65 
 1                516330           24APR2011 1200    21973.87 
 1                516330           25APR2011 0000    22172.09 
 1                516330           25APR2011 1200    22497.73 
 1                516330           26APR2011 0000    22823.37 
 1                516330           26APR2011 1200    23078.22 
 1                516330           27APR2011 0000    23333.08 
 1                516330           27APR2011 1200    23517.14 
 1                516330           28APR2011 0000    23701.20 
 1                516330           28APR2011 1200    24012.68 
 1                516330           29APR2011 0000    24324.17 
 1                516330           29APR2011 1200    24663.97 
 1                516330           30APR2011 0000    25003.77 
 1                516330           30APR2011 1200    25527.63 
 1                516330           01MAY2011 0000    26051.49 
 1                516330           01MAY2011 1200    26787.73 
 1                516330           02MAY2011 0000    27523.97 
 1                516330           02MAY2011 1200    28359.32 
 1                516330           03MAY2011 0000    29194.67 
 1                516330           03MAY2011 1200    29690.21 
 1                516330           04MAY2011 0000    30185.76 
 1                516330           04MAY2011 1200    30737.94 
 1                516330           05MAY2011 0000    31290.12 
 1                516330           05MAY2011 1200    31757.34 
 1                516330           06MAY2011 0000    32224.57 
 1                516330           06MAY2011 1200    32819.23 
 1                516330           07MAY2011 0000    33413.88 
 1                516330           07MAY2011 1200    34263.38 
 1                516330           08MAY2011 0000    35112.89 
 1                516330           08MAY2011 1200    36245.56 
 1                516330           09MAY2011 0000    37378.24 
 1                516330           09MAY2011 1200    37944.57 
 1                516330           10MAY2011 0000    38510.91 
 1                516330           10MAY2011 1200    38992.30 
 1                516330           11MAY2011 0000    39473.68 
 1                516330           11MAY2011 1200    39884.28 
 1                516330           12MAY2011 0000    40294.87 
 1                516330           12MAY2011 1200    40662.99 
 1                516330           13MAY2011 0000    41031.11 
 1                516330           13MAY2011 1200    41328.44 
 1                516330           14MAY2011 0000    41625.77 
 1                516330           14MAY2011 1200    41979.72 
 1                516330           15MAY2011 0000    42333.68 
 1                516330           15MAY2011 1200    42418.64 
 1                516330           16MAY2011 0000    42503.59 
 1                516330           16MAY2011 1200    42829.23 
 1                516330           17MAY2011 0000    43154.88 
 1                516330           17MAY2011 1200    43522.99 
 1                516330           18MAY2011 0000    43891.11 
 1                516330           18MAY2011 1200    44868.04 
 1                516330           19MAY2011 0000    45844.97 
 1                516330           19MAY2011 1200    45844.97 
 1                516330           20MAY2011 0000    45844.97 
 1                516330           20MAY2011 1200    45844.97 
 1                516330           21MAY2011 0000    45844.97 
 1                516330           21MAY2011 1200    45717.55 
 1                516330           22MAY2011 0000    45590.12 
 1                516330           22MAY2011 1200    45306.95 
 1                516330           23MAY2011 0000    45023.79 
 1                516330           23MAY2011 1200    44811.41 
 1                516330           24MAY2011 0000    44599.03 
 1                516330           24MAY2011 1200    44315.86 
 1                516330           25MAY2011 0000    44032.70 
 1                516330           25MAY2011 1200    43820.32 
 1                516330           26MAY2011 0000    43607.94 
 1                516330           26MAY2011 1200    43607.94 
 1                516330           27MAY2011 0000    43607.94 
 1                516330           27MAY2011 1200    43607.94 
 1                516330           28MAY2011 0000    43607.94 
 1                516330           28MAY2011 1200    43041.61 
 1                516330           29MAY2011 0000    42475.27 
 1                516330           29MAY2011 1200    42192.10 
 1                516330           30MAY2011 0000    41908.93 
 1                516330           30MAY2011 1200    41767.35 
 1                516330           31MAY2011 0000    41625.77 
 1                516330           31MAY2011 1200    41413.39 
 1                516330           01JUN2011 0000    41201.01 
 1                516330           01JUN2011 1200    40988.63 
 1                516330           02JUN2011 0000    40776.26 
 1                516330           02JUN2011 1200    40549.72 
 1                516330           03JUN2011 0000    40323.19 
 1                516330           03JUN2011 1200    40040.02 
 1                516330           04JUN2011 0000    39756.85 
 1                516330           04JUN2011 1200    39558.63 
 1                516330           05JUN2011 0000    39360.42 
 1                516330           05JUN2011 1200    38652.50 
 1                516330           06JUN2011 0000    37944.57 
 1                516330           06JUN2011 1200    37406.55 
 1                516330           07JUN2011 0000    36868.54 
 1                516330           07JUN2011 1200    36344.67 
 1                516330           08JUN2011 0000    35820.81 
 1                516330           08JUN2011 1200    35466.85 
 1                516330           09JUN2011 0000    35112.89 
 1                516330           09JUN2011 1200    34758.93 
 1                516330           10JUN2011 0000    34404.97 
 1                516330           10JUN2011 1200    34051.01 
 1                516330           11JUN2011 0000    33697.05 
 1                516330           11JUN2011 1200    33059.92 
 1                516330           12JUN2011 0000    32422.79 
 1                516330           12JUN2011 1200    31700.71 
 1                516330           13JUN2011 0000    30978.63 
 1                516330           13JUN2011 1200    30681.30 
 1                516330           14JUN2011 0000    30383.98 
 1                516330           14JUN2011 1200    29987.54 
 1                516330           15JUN2011 0000    29591.10 
 1                516330           15JUN2011 1200    29506.15 
 1                516330           16JUN2011 0000    29421.20 
 1                516330           16JUN2011 1200    28614.17 
 1                516330           17JUN2011 0000    27807.14 
 1                516330           17JUN2011 1200    27453.18 
 1                516330           18JUN2011 0000    27099.22 
 1                516330           18JUN2011 1200    26660.30 
 1                516330           19JUN2011 0000    26221.39 
 1                516330           19JUN2011 1200    25782.48 
 1                516330           20JUN2011 0000    25343.57 
 1                516330           20JUN2011 1200    24961.29 
 1                516330           21JUN2011 0000    24579.02 
 1                516330           21JUN2011 1200    23871.10 
 1                516330           22JUN2011 0000    23163.18 
 1                516330           22JUN2011 1200    22681.79 
 1                516330           23JUN2011 0000    22200.40 
 1                516330           23JUN2011 1200    21789.81 
 1                516330           24JUN2011 0000    21379.21 
 1                516330           24JUN2011 1200    20996.94 
 1                516330           25JUN2011 0000    20614.66 
 1                516330           25JUN2011 1200    20218.22 
 1                516330           26JUN2011 0000    19821.79 
 1                516330           26JUN2011 1200    19397.04 
 1                516330           27JUN2011 0000    18972.28 
 1                516330           27JUN2011 1200    18830.70 
 1                516330           28JUN2011 0000    18689.12 
 1                516330           28JUN2011 1200    18462.58 
 1                516330           29JUN2011 0000    18236.04 
 1                516330           29JUN2011 1200    18674.96 
 1                516330           30JUN2011 0000    19113.87 
 1                516330           30JUN2011 1200    19014.76 
 1                516330           01JUL2011 0000    18915.65 
 1                516330           01JUL2011 1200    18887.33 
 1                516330           02JUL2011 0000    18859.02 
 1                516330           02JUL2011 1200    18759.90 
 1                516330           03JUL2011 0000    18660.80 
 1                516330           03JUL2011 1200    18604.16 
 1                516330           04JUL2011 0000    18547.53 
 1                516330           04JUL2011 1200    18547.53 
 1                516330           05JUL2011 0000    18547.53 
 1                516330           05JUL2011 1200    19000.60 
 1                516330           06JUL2011 0000    19453.67 
 1                516330           06JUL2011 1200    19453.67 
 1                516330           07JUL2011 0000    19453.67 
 1                516330           07JUL2011 1200    19453.67 
 1                516330           08JUL2011 0000    19453.67 
 1                516330           08JUL2011 1200    19453.67 
 1                516330           09JUL2011 0000    19453.67 
 1                516330           09JUL2011 1200    19496.14 
 1                516330           10JUL2011 0000    19538.62 
 1                516330           10JUL2011 1200    19496.14 
 1                516330           11JUL2011 0000    19453.67 
 1                516330           11JUL2011 1200    19411.19 
 1                516330           12JUL2011 0000    19368.72 
 1                516330           12JUL2011 1200    19326.24 
 1                516330           13JUL2011 0000    19283.77 
 1                516330           13JUL2011 1200    19156.34 
 1                516330           14JUL2011 0000    19028.92 
 1                516330           14JUL2011 1200    18873.17 
 1                516330           15JUL2011 0000    18717.43 
 1                516330           15JUL2011 1200    18618.32 
 1                516330           16JUL2011 0000    18519.22 
 1                516330           16JUL2011 1200    18391.79 
 1                516330           17JUL2011 0000    18264.37 
 1                516330           17JUL2011 1200    18080.31 
 1                516330           18JUL2011 0000    17896.24 
 1                516330           18JUL2011 1200    17825.45 
 1                516330           19JUL2011 0000    17754.66 
 1                516330           19JUL2011 1200    17528.13 
 1                516330           20JUL2011 0000    17301.59 
 1                516330           20JUL2011 1200    16975.95 
 1                516330           21JUL2011 0000    16650.30 
 1                516330           21JUL2011 1200    16522.88 
 1                516330           22JUL2011 0000    16395.46 
 1                516330           22JUL2011 1200    16083.96 
 1                516330           23JUL2011 0000    15772.48 
 1                516330           23JUL2011 1200    15432.68 
 1                516330           24JUL2011 0000    15092.88 
 1                516330           24JUL2011 1200    14696.44 
 1                516330           25JUL2011 0000    14300.00 
 1                516330           25JUL2011 1200    14115.95 
 1                516330           26JUL2011 0000    13931.89 
 1                516330           26JUL2011 1200    13875.25 
 1                516330           27JUL2011 0000    13818.62 
 1                516330           27JUL2011 1200    13634.56 
 1                516330           28JUL2011 0000    13450.50 
 1                516330           28JUL2011 1200    13691.19 
 1                516330           29JUL2011 0000    13931.89 
 1                516330           29JUL2011 1200    13521.29 
 1                516330           30JUL2011 0000    13110.70 
 1                516330           30JUL2011 1200    12827.53 
 1                516330           31JUL2011 0000    12544.36 
 1                516330           31JUL2011 1200    12331.98 
 1                516330           01AUG2011 0000    12119.61 
 1                516330           01AUG2011 1200    12020.50 
 1                516330           02AUG2011 0000    11921.39 
 1                516330           02AUG2011 1200    11793.96 
 1                516330           03AUG2011 0000    11666.54 
 1                516330           03AUG2011 1200    11638.22 
 1                516330           04AUG2011 0000    11609.90 
 1                516330           04AUG2011 1200    11638.22 
 1                516330           05AUG2011 0000    11666.54 
 1                516330           05AUG2011 1200    12006.34 
 1                516330           06AUG2011 0000    12346.14 
 1                516330           06AUG2011 1200    12289.51 
 1                516330           07AUG2011 0000    12232.88 
 1                516330           07AUG2011 1200    12162.08 
 1                516330           08AUG2011 0000    12091.29 
 1                516330           08AUG2011 1200    12034.66 
 1                516330           09AUG2011 0000    11978.02 
 1                516330           09AUG2011 1200    11963.87 
 1                516330           10AUG2011 0000    11949.71 
 1                516330           10AUG2011 1200    11949.71 
 1                516330           11AUG2011 0000    11949.71 
 1                516330           11AUG2011 1200    11949.71 
 1                516330           12AUG2011 0000    11949.71 
 1                516330           12AUG2011 1200    11963.87 
 1                516330           13AUG2011 0000    11978.02 
 1                516330           13AUG2011 1200    12006.34 
 1                516330           14AUG2011 0000    12034.66 
 1                516330           14AUG2011 1200    12034.66 
 1                516330           15AUG2011 0000    12034.66 
 1                516330           15AUG2011 1200    12034.66 
 1                516330           16AUG2011 0000    12034.66 
 1                516330           16AUG2011 1200    12034.66 
 1                516330           17AUG2011 0000    12034.66 
 1                516330           17AUG2011 1200    11907.23 
 1                516330           18AUG2011 0000    11779.81 
 1                516330           18AUG2011 1200    11709.01 
 1                516330           19AUG2011 0000    11638.22 
 1                516330           19AUG2011 1200    11567.43 
 1                516330           20AUG2011 0000    11496.64 
 1                516330           20AUG2011 1200    11369.21 
 1                516330           21AUG2011 0000    11241.79 
 1                516330           21AUG2011 1200    11156.83 
 1                516330           22AUG2011 0000    11071.88 
 1                516330           22AUG2011 1200    10675.45 
 1                516330           23AUG2011 0000    10279.01 
 1                516330           23AUG2011 1200    10194.06 
 1                516330           24AUG2011 0000    10109.11 
 1                516330           24AUG2011 1200    10080.79 
 1                516330           25AUG2011 0000    10052.48 
 1                516330           25AUG2011 1200    10010.00 
 1                516330           26AUG2011 0000     9967.53 
 1                516330           26AUG2011 1200     9953.37 
 1                516330           27AUG2011 0000     9939.21 
 1                516330           27AUG2011 1200     9868.42 
 1                516330           28AUG2011 0000     9797.63 
 1                516330           28AUG2011 1200     9740.99 
 1                516330           29AUG2011 0000     9684.36 
 1                516330           29AUG2011 1200     9599.41 
 1                516330           30AUG2011 0000     9514.46 
 1                516330           30AUG2011 1200     9443.67 
 1                516330           31AUG2011 0000     9372.87 
 1                516330           31AUG2011 1200     9316.24 
 1                516330           01SEP2011 0000     9259.61 
 1                516330           01SEP2011 1200     9231.29 
 1                516330           02SEP2011 0000     9202.97 
 1                516330           02SEP2011 1200     9231.29 
 1                516330           03SEP2011 0000     9259.61 
 1                516330           03SEP2011 1200     9316.24 
 1                516330           04SEP2011 0000     9372.87 
 1                516330           04SEP2011 1200     9500.30 
 1                516330           05SEP2011 0000     9627.73 
 1                516330           05SEP2011 1200     9726.83 
 1                516330           06SEP2011 0000     9825.94 
 1                516330           06SEP2011 1200     9670.20 
 1                516330           07SEP2011 0000     9514.46 
 1                516330           07SEP2011 1200     9429.51 
 1                516330           08SEP2011 0000     9344.56 
 1                516330           08SEP2011 1200     9202.97 
 1                516330           09SEP2011 0000     9061.39 
 1                516330           09SEP2011 1200     8891.49 
 1                516330           10SEP2011 0000     8721.59 
 1                516330           10SEP2011 1200     8636.64 
 1                516330           11SEP2011 0000     8551.69 
 1                516330           11SEP2011 1200     8495.05 
 1                516330           12SEP2011 0000     8438.42 
 1                516330           12SEP2011 1200     8410.10 
 1                516330           13SEP2011 0000     8381.78 
 1                516330           13SEP2011 1200     8410.10 
 1                516330           14SEP2011 0000     8438.42 
 1                516330           14SEP2011 1200     8523.37 
 1                516330           15SEP2011 0000     8608.32 
 1                516330           15SEP2011 1200     8650.79 
 1                516330           16SEP2011 0000     8693.27 
 1                516330           16SEP2011 1200     8749.90 
 1                516330           17SEP2011 0000     8806.54 
 1                516330           17SEP2011 1200     8849.01 
 1                516330           18SEP2011 0000     8891.49 
 1                516330           18SEP2011 1200     8891.49 
 1                516330           19SEP2011 0000     8891.49 
 1                516330           19SEP2011 1200     8877.33 
 1                516330           20SEP2011 0000     8863.17 
 1                516330           20SEP2011 1200     8778.22 
 1                516330           21SEP2011 0000     8693.27 
 1                516330           21SEP2011 1200     8622.48 
 1                516330           22SEP2011 0000     8551.69 
 1                516330           22SEP2011 1200     8480.89 
 1                516330           23SEP2011 0000     8410.10 
 1                516330           23SEP2011 1200     8268.52 
 1                516330           24SEP2011 0000     8126.93 
 1                516330           24SEP2011 1200     8013.67 
 1                516330           25SEP2011 0000     7900.40 
 1                516330           25SEP2011 1200     7801.29 
 1                516330           26SEP2011 0000     7702.18 
 1                516330           26SEP2011 1200     7645.55 
 1                516330           27SEP2011 0000     7588.91 
 1                516330           27SEP2011 1200     7546.44 
 1                516330           28SEP2011 0000     7503.96 
 1                516330           28SEP2011 1200     7489.80 
 1                516330           29SEP2011 0000     7475.65 
 1                516330           29SEP2011 1200     7503.96 
 1                516330           30SEP2011 0000     7532.28 
 1                516330           30SEP2011 1200     7617.23 
 1                516330           01OCT2011 0000     7702.18 
 1                516330           01OCT2011 1200     7688.02 
 1                516330           02OCT2011 0000     7673.86 
 1                516330           02OCT2011 1200     7702.18 
 1                516330           03OCT2011 0000     7730.50 
 1                516330           03OCT2011 1200     7801.29 
 1                516330           04OCT2011 0000     7872.08 
 1                516330           04OCT2011 1200     7900.40 
 1                516330           05OCT2011 0000     7928.71 
 1                516330           05OCT2011 1200     7928.71 
 1                516330           06OCT2011 0000     7928.71 
 1                516330           06OCT2011 1200     7957.03 
 1                516330           07OCT2011 0000     7985.35 
 1                516330           07OCT2011 1200     7985.35 
 1                516330           08OCT2011 0000     7985.35 
 1                516330           08OCT2011 1200     7928.71 
 1                516330           09OCT2011 0000     7872.08 
 1                516330           09OCT2011 1200     7801.29 
 1                516330           10OCT2011 0000     7730.50 
 1                516330           10OCT2011 1200     7659.70 
 1                516330           11OCT2011 0000     7588.91 
 1                516330           11OCT2011 1200     7532.28 
 1                516330           12OCT2011 0000     7475.65 
 1                516330           12OCT2011 1200     7404.86 
 1                516330           13OCT2011 0000     7334.06 
 1                516330           13OCT2011 1200     7305.74 
 1                516330           14OCT2011 0000     7277.43 
 1                516330           14OCT2011 1200     7220.80 
 1                516330           15OCT2011 0000     7164.16 
 1                516330           15OCT2011 1200     7079.21 
 1                516330           16OCT2011 0000     6994.26 
 1                516330           16OCT2011 1200     6866.84 
 1                516330           17OCT2011 0000     6739.41 
 1                516330           17OCT2011 1200     6640.30 
 1                516330           18OCT2011 0000     6541.19 
 1                516330           18OCT2011 1200     6470.40 
 1                516330           19OCT2011 0000     6399.61 
 1                516330           19OCT2011 1200     6272.18 
 1                516330           20OCT2011 0000     6144.76 
 1                516330           20OCT2011 1200     6059.81 
 1                516330           21OCT2011 0000     5974.85 
 1                516330           21OCT2011 1200     5847.43 
 1                516330           22OCT2011 0000     5720.00 
 1                516330           22OCT2011 1200     5720.00 
 1                516330           23OCT2011 0000     5720.00 
 1                516330           23OCT2011 1200     5734.16 
 1                516330           24OCT2011 0000     5748.32 
 1                516330           24OCT2011 1200     5833.27 
 1                516330           25OCT2011 0000     5918.22 
 1                516330           25OCT2011 1200     5960.70 
 1                516330           26OCT2011 0000     6003.17 
 1                516330           26OCT2011 1200     6059.81 
 1                516330           27OCT2011 0000     6116.44 
 1                516330           27OCT2011 1200     6215.55 
 1                516330           28OCT2011 0000     6314.66 
 1                516330           28OCT2011 1200     6399.61 
 1                516330           29OCT2011 0000     6484.56 
 1                516330           29OCT2011 1200     6640.30 
 1                516330           30OCT2011 0000     6796.04 
 1                516330           30OCT2011 1200     6937.63 
 1                516330           31OCT2011 0000     7079.21 
 1                516330           31OCT2011 1200     7164.16 
 1                516330           01NOV2011 0000     7249.11 
 1                516330           01NOV2011 1200     7277.43 
 1                516330           02NOV2011 0000     7305.74 
 1                516330           02NOV2011 1200     7334.06 
 1                516330           03NOV2011 0000     7362.38 
 1                516330           03NOV2011 1200     7362.38 
 1                516330           04NOV2011 0000     7362.38 
 1                516330           04NOV2011 1200     7334.06 
 1                516330           05NOV2011 0000     7305.74 
 1                516330           05NOV2011 1200     7291.59 
 1                516330           06NOV2011 0000     7277.43 
 1                516330           06NOV2011 1200     7319.91 
 1                516330           07NOV2011 0000     7362.38 
 1                516330           07NOV2011 1200     7376.54 
 1                516330           08NOV2011 0000     7390.69 
 1                516330           08NOV2011 1200     7447.33 
 1                516330           09NOV2011 0000     7503.96 
 1                516330           09NOV2011 1200     7532.28 
