Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09   River: 1   Reach: 1
 1                20000            06NOV2025 2040       20.00 
 1                20000            06NOV2025 2050       20.00 
 1                20000            06NOV2025 2100       20.00 
 1                20000            06NOV2025 2110       20.00 
 1                20000            06NOV2025 2120       20.00 
 1                20000            06NOV2025 2130       20.00 
 1                20000            06NOV2025 2140       20.00 
 1                20000            06NOV2025 2150       20.00 
 1                20000            06NOV2025 2200       20.00 
 1                20000            06NOV2025 2210       20.00 
 1                20000            06NOV2025 2220       20.00 
 1                20000            06NOV2025 2230       20.00 
 1                20000            06NOV2025 2240       20.00 
 1                20000            06NOV2025 2250       20.00 
 1                20000            06NOV2025 2300       20.00 
 1                20000            06NOV2025 2310       20.00 
 1                20000            06NOV2025 2320       20.00 
 1                20000            06NOV2025 2330       20.00 
 1                20000            06NOV2025 2340       20.00 
 1                20000            06NOV2025 2350       20.00 
 1                20000            07NOV2025 0000       20.00 
                                                              
 1                0                06NOV2025 0000       20.00 
 1                0                06NOV2025 0010       20.00 
 1                0                06NOV2025 0020       20.00 
 1                0                06NOV2025 0030       20.00 
 1                0                06NOV2025 0040       20.00 
 1                0                06NOV2025 0050       20.00 
 1                0                06NOV2025 0100       20.00 
 1                0                06NOV2025 0110       20.00 
 1                0                06NOV2025 0120       20.00 
 1                0                06NOV2025 0130       20.00 
 1                0                06NOV2025 0140       20.00 
 1                0                06NOV2025 0150       20.00 
 1                0                06NOV2025 0200       20.00 
 1                0                06NOV2025 0210       20.00 
 1                0                06NOV2025 0220       20.00 
 1                0                06NOV2025 0230       20.00 
 1                0                06NOV2025 0240       20.00 
 1                0                06NOV2025 0250       20.00 
 1                0                06NOV2025 0300       20.00 
 1                0                06NOV2025 0310       20.00 
 1                0                06NOV2025 0320       20.01 
 1                0                06NOV2025 0330       20.02 
 1                0                06NOV2025 0340       20.03 
 1                0                06NOV2025 0350       20.06 
 1                0                06NOV2025 0400       20.09 
 1                0                06NOV2025 0410       20.13 
 1                0                06NOV2025 0420       20.17 
 1                0                06NOV2025 0430       20.22 
 1                0                06NOV2025 0440       20.26 
 1                0                06NOV2025 0450       20.31 
 1                0                06NOV2025 0500       20.34 
 1                0                06NOV2025 0510       20.37 
 1                0                06NOV2025 0520       20.40 
 1                0                06NOV2025 0530       20.42 
 1                0                06NOV2025 0540       20.44 
 1                0                06NOV2025 0550       20.45 
 1                0                06NOV2025 0600       20.46 
 1                0                06NOV2025 0610       20.46 
 1                0                06NOV2025 0620       20.47 
 1                0                06NOV2025 0630       20.47 
 1                0                06NOV2025 0640       20.47 
 1                0                06NOV2025 0650       20.47 
 1                0                06NOV2025 0700       20.47 
 1                0                06NOV2025 0710       20.46 
 1                0                06NOV2025 0720       20.46 
 1                0                06NOV2025 0730       20.45 
 1                0                06NOV2025 0740       20.45 
 1                0                06NOV2025 0750       20.44 
 1                0                06NOV2025 0800       20.43 
 1                0                06NOV2025 0810       20.43 
 1                0                06NOV2025 0820       20.42 
 1                0                06NOV2025 0830       20.41 
 1                0                06NOV2025 0840       20.40 
 1                0                06NOV2025 0850       20.40 
 1                0                06NOV2025 0900       20.39 
 1                0                06NOV2025 0910       20.38 
 1                0                06NOV2025 0920       20.37 
 1                0                06NOV2025 0930       20.37 
 1                0                06NOV2025 0940       20.36 
 1                0                06NOV2025 0950       20.35 
 1                0                06NOV2025 1000       20.35 
 1                0                06NOV2025 1010       20.34 
 1                0                06NOV2025 1020       20.33 
 1                0                06NOV2025 1030       20.32 
 1                0                06NOV2025 1040       20.32 
 1                0                06NOV2025 1050       20.31 
 1                0                06NOV2025 1100       20.30 
 1                0                06NOV2025 1110       20.30 
 1                0                06NOV2025 1120       20.29 
 1                0                06NOV2025 1130       20.29 
 1                0                06NOV2025 1140       20.28 
 1                0                06NOV2025 1150       20.27 
 1                0                06NOV2025 1200       20.27 
 1                0                06NOV2025 1210       20.26 
 1                0                06NOV2025 1220       20.26 
 1                0                06NOV2025 1230       20.25 
 1                0                06NOV2025 1240       20.25 
 1                0                06NOV2025 1250       20.24 
 1                0                06NOV2025 1300       20.23 
 1                0                06NOV2025 1310       20.23 
 1                0                06NOV2025 1320       20.22 
 1                0                06NOV2025 1330       20.22 
 1                0                06NOV2025 1340       20.22 
 1                0                06NOV2025 1350       20.21 
 1                0                06NOV2025 1400       20.21 
 1                0                06NOV2025 1410       20.20 
 1                0                06NOV2025 1420       20.20 
 1                0                06NOV2025 1430       20.19 
 1                0                06NOV2025 1440       20.19 
 1                0                06NOV2025 1450       20.18 
 1                0                06NOV2025 1500       20.18 
 1                0                06NOV2025 1510       20.18 
 1                0                06NOV2025 1520       20.17 
 1                0                06NOV2025 1530       20.17 
 1                0                06NOV2025 1540       20.17 
 1                0                06NOV2025 1550       20.16 
 1                0                06NOV2025 1600       20.16 
 1                0                06NOV2025 1610       20.15 
 1                0                06NOV2025 1620       20.15 
 1                0                06NOV2025 1630       20.15 
 1                0                06NOV2025 1640       20.15 
 1                0                06NOV2025 1650       20.14 
 1                0                06NOV2025 1700       20.14 
 1                0                06NOV2025 1710       20.14 
 1                0                06NOV2025 1720       20.13 
 1                0                06NOV2025 1730       20.13 
 1                0                06NOV2025 1740       20.13 
 1                0                06NOV2025 1750       20.12 
 1                0                06NOV2025 1800       20.12 
 1                0                06NOV2025 1810       20.12 
 1                0                06NOV2025 1820       20.12 
 1                0                06NOV2025 1830       20.11 
 1                0                06NOV2025 1840       20.11 
 1                0                06NOV2025 1850       20.11 
 1                0                06NOV2025 1900       20.11 
 1                0                06NOV2025 1910       20.10 
 1                0                06NOV2025 1920       20.10 
 1                0                06NOV2025 1930       20.10 
 1                0                06NOV2025 1940       20.10 
 1                0                06NOV2025 1950       20.10 
 1                0                06NOV2025 2000       20.09 
 1                0                06NOV2025 2010       20.09 
 1                0                06NOV2025 2020       20.09 
 1                0                06NOV2025 2030       20.09 
 1                0                06NOV2025 2040       20.09 
 1                0                06NOV2025 2050       20.08 
 1                0                06NOV2025 2100       20.08 
 1                0                06NOV2025 2110       20.08 
 1                0                06NOV2025 2120       20.08 
 1                0                06NOV2025 2130       20.08 
 1                0                06NOV2025 2140       20.07 
 1                0                06NOV2025 2150       20.07 
 1                0                06NOV2025 2200       20.07 
 1                0                06NOV2025 2210       20.07 
 1                0                06NOV2025 2220       20.07 
 1                0                06NOV2025 2230       20.07 
 1                0                06NOV2025 2240       20.07 
 1                0                06NOV2025 2250       20.06 
 1                0                06NOV2025 2300       20.06 
 1                0                06NOV2025 2310       20.06 
 1                0                06NOV2025 2320       20.06 
 1                0                06NOV2025 2330       20.06 
 1                0                06NOV2025 2340       20.06 
 1                0                06NOV2025 2350       20.06 
 1                0                07NOV2025 0000       20.06 
                                                                   
