Historic Data For Mississippi River at Head of Passes (01545) ,
02/20/2011 08:00,1
02/21/2011 08:00,1.27
02/22/2011 08:00,1.17
02/23/2011 08:00,0.97
02/24/2011 08:00,1.03
02/25/2011 08:00,1.05
02/26/2011 08:00,0.68
02/27/2011 08:00,0.83
02/28/2011 08:00,1.35
3.01.2011 08:00,0.76
3.02.2011 08:00,1.27
3.03.2011 08:00,1.72
3.04.2011 08:00,1.73
3.05.2011 08:00,2.21
3.06.2011 08:00,1.98
3.07.2011 08:00,2.11
3.08.2011 08:00,2.42
3.09.2011 08:00,2.55
3.10.2011 08:00,2.05
3.11.2011 08:00,2.06
3.12.2011 08:00,1.83
03/13/2011 08:00,1.86
03/14/2011 08:00,1.96
03/15/2011 08:00,1.91
03/16/2011 08:00,1.92
03/17/2011 08:00,1.98
03/18/2011 08:00,2.26
03/19/2011 08:00,2.35
03/20/2011 08:00,2.47
03/21/2011 08:00,2.62
03/22/2011 08:00,2.63
03/23/2011 08:00,2.69
03/24/2011 08:00,2.5
03/25/2011 08:00,M
03/26/2011 08:00,2.48
03/27/2011 08:00,2.46
03/28/2011 08:00,2.45
03/29/2011 08:00,2.62
03/30/2011 08:00,2
03/31/2011 08:00,2.91
4.01.2011 08:00,2.98
4.02.2011 08:00,2.87
4.03.2011 08:00,2.9
4.04.2011 08:00,3.05
4.05.2011 08:00,2.79
4.06.2011 08:00,2.88
4.07.2011 08:00,2.78
4.08.2011 08:00,2.86
4.09.2011 08:00,2.85
4.10.2011 08:00,2.76
4.11.2011 08:00,2.75
4.12.2011 08:00,2.44
04/13/2011 08:00,2.55
04/14/2011 08:00,2.34
04/15/2011 08:00,2.43
04/16/2011 08:00,2.46
04/17/2011 08:00,2.47
04/18/2011 08:00,2.61
04/19/2011 08:00,2.64
04/20/2011 08:00,2.52
04/21/2011 08:00,2.31
04/22/2011 08:00,2.25
04/23/2011 08:00,2.15
04/24/2011 08:00,2.07
04/25/2011 08:00,2.3
04/26/2011 08:00,2.39
04/27/2011 08:00,2.71
04/28/2011 08:00,2.52
04/29/2011 08:00,2.61
04/30/2011 08:00,2.89
5.01.2011 08:00,2.9
5.02.2011 08:00,3.03
5.03.2011 08:00,3
5.04.2011 08:00,3.18
5.05.2011 08:00,3.09
5.06.2011 08:00,3.11
5.07.2011 08:00,3
5.08.2011 08:00,3.05
5.09.2011 08:00,3.1
5.10.2011 08:00,3.12
5.11.2011 08:00,3.24
5.12.2011 08:00,3.24
05/13/2011 08:00,3.31
05/14/2011 08:00,3.5
05/15/2011 08:00,3.58
05/16/2011 08:00,3.69
05/17/2011 08:00,3.79
05/18/2011 08:00,3.66
05/19/2011 08:00,3.65
05/20/2011 08:00,3.46
05/21/2011 08:00,3.36
05/22/2011 08:00,3.26
05/23/2011 08:00,3.17
05/24/2011 08:00,3.17
05/25/2011 08:00,3.33
05/26/2011 08:00,3.34
05/27/2011 08:00,3.36
05/28/2011 08:00,3.42
05/29/2011 08:00,3.49
05/30/2011 08:00,3.47
05/31/2011 08:00,3.59
6.01.2011 08:00,3.48
6.02.2011 08:00,3.49
6.03.2011 08:00,3.45
6.04.2011 08:00,3.41
6.05.2011 08:00,3.26
6.06.2011 08:00,3.28
6.07.2011 08:00,3.24
6.08.2011 08:00,3.31
6.09.2011 08:00,3.44
6.10.2011 08:00,3.48
6.11.2011 08:00,3.54
6.12.2011 08:00,3.58
06/13/2011 08:00,3.64
06/14/2011 08:00,3.53
06/15/2011 08:00,3.62
06/16/2011 08:00,3.35
06/17/2011 08:00,3.28
06/18/2011 08:00,2.88
06/19/2011 08:00,2.98
06/20/2011 08:00,2.95
06/21/2011 08:00,2.92
06/22/2011 08:00,2.9
06/23/2011 08:00,2.82
06/24/2011 08:00,2.83
06/25/2011 08:00,2.86
06/26/2011 08:00,2.96
06/27/2011 08:00,3
06/28/2011 08:00,2.96
06/29/2011 08:00,3
06/30/2011 08:00,3
7.01.2011 08:00,2.89
7.02.2011 08:00,2.62
7.03.2011 08:00,2.56
7.04.2011 08:00,2.54
7.05.2011 08:00,2.41
7.06.2011 08:00,2.44
7.07.2011 08:00,2.49
7.08.2011 08:00,2.65
7.09.2011 08:00,2.83
7.10.2011 08:00,2.84
7.11.2011 08:00,2.76
7.12.2011 08:00,2.98
07/13/2011 08:00,2.92
07/14/2011 08:00,2.89
07/15/2011 08:00,2.87
07/16/2011 08:00,2.68
07/17/2011 08:00,2.49
07/18/2011 08:00,2.47
07/19/2011 08:00,2.38
07/20/2011 08:00,2.44
07/21/2011 08:00,2.19
07/22/2011 08:00,2.22
07/23/2011 08:00,2.41
07/24/2011 08:00,2.41
07/25/2011 08:00,2.46
07/26/2011 08:00,2.57
07/27/2011 08:00,2.63
07/28/2011 08:00,2.91
07/29/2011 08:00,2.78
07/30/2011 08:00,M
07/31/2011 08:00,M
8.01.2011 08:00,2.25
8.02.2011 08:00,1.96
8.03.2011 08:00,1.83
8.04.2011 08:00,1.91
8.05.2011 08:00,2.05
8.06.2011 08:00,2.19
8.07.2011 08:00,2.29
8.08.2011 08:00,2.46
8.09.2011 08:00,2.49
8.10.2011 08:00,2.35
8.11.2011 08:00,2.37
8.12.2011 08:00,2.21
08/13/2011 08:00,M
08/14/2011 08:00,1.86
08/15/2011 08:00,1.72
08/16/2011 08:00,1.71
08/17/2011 08:00,1.66
08/18/2011 08:00,1.66
08/19/2011 08:00,1.85
08/20/2011 08:00,1.9
08/21/2011 08:00,1.98
08/22/2011 08:00,2.08
08/23/2011 08:00,2.24
08/24/2011 08:00,2.35
08/25/2011 08:00,2.49
08/26/2011 08:00,2.59
08/27/2011 08:00,2.33
08/28/2011 08:00,2.21
08/29/2011 08:00,2.03
08/30/2011 08:00,1.73
08/31/2011 08:00,1.43
9.01.2011 08:00,1.97
9.02.2011 08:00,2.23
9.03.2011 08:00,2.96
9.04.2011 08:00,3.12
9.05.2011 08:00,3.21
9.06.2011 08:00,2.73
9.07.2011 08:00,2.48
9.08.2011 08:00,2.32
9.09.2011 08:00,2.01
9.10.2011 08:00,1.98
9.11.2011 08:00,1.83
9.12.2011 08:00,1.31
09/13/2011 08:00,1.38
09/14/2011 08:00,1.24
09/15/2011 08:00,1.28
09/16/2011 08:00,1.42
09/17/2011 08:00,1.54
09/18/2011 08:00,1.86
09/19/2011 08:00,1.88
09/20/2011 08:00,2.19
09/21/2011 08:00,2.17
09/22/2011 08:00,2.51
09/23/2011 08:00,2.49
09/24/2011 08:00,2.43
09/25/2011 08:00,2.25
09/26/2011 08:00,2.03
09/27/2011 08:00,1.64
09/28/2011 08:00,1
09/29/2011 08:00,1.18
09/30/2011 08:00,1.17
10.01.2011 08:00,1.44
10.02.2011 08:00,1.59
10.03.2011 08:00,1.55
10.04.2011 08:00,1.69
10.05.2011 08:00,1.97
10.06.2011 08:00,2.07
10.07.2011 08:00,2.17
10.08.2011 08:00,M
10.09.2011 08:00,M
10.10.2011 08:00,2.46
10.11.2011 08:00,1.82
10.12.2011 08:00,1.44
10/13/2011 08:00,1.51
10/14/2011 08:00,1.41
10/15/2011 08:00,1.24
10/16/2011 08:00,1.34
10/17/2011 08:00,1.56
10/18/2011 08:00,2.26
10/19/2011 08:00,2.04
10/20/2011 08:00,1.64
10/21/2011 08:00,1.25
10/22/2011 08:00,1.34
10/23/2011 08:00,1.44
10/24/2011 08:00,1.07
10/25/2011 08:00,0.81
10/26/2011 08:00,0.63
10/27/2011 08:00,0.82
10/28/2011 08:00,0.89
10/29/2011 08:00,1.23
10/30/2011 08:00,1.21
10/31/2011 08:00,1.08
11.01.2011 08:00,1.36
11.02.2011 08:00,1.56
11.03.2011 08:00,1.73
11.04.2011 08:00,1.41
11.05.2011 08:00,1.38
11.06.2011 08:00,1.6
11.07.2011 08:00,1.32
11.08.2011 08:00,1.35
11.09.2011 08:00,1.25
11.10.2011 08:00,1.15
11.11.2011 08:00,0.85
11.12.2011 08:00,0.57
11/13/2011 08:00,0.86
11/14/2011 08:00,1.24
11/15/2011 08:00,1.38
11/16/2011 08:00,1.53
11/17/2011 08:00,1.57
11/18/2011 08:00,1.65
11/19/2011 08:00,1.59
11/20/2011 08:00,1.74
11/21/2011 08:00,1.37
11/22/2011 08:00,1.35
11/23/2011 08:00,0.91
11/24/2011 08:00,0.82
11/25/2011 08:00,0.65
11/26/2011 08:00,1.15
11/27/2011 08:00,1.2
11/28/2011 08:00,1.32
11/29/2011 08:00,1.31
11/30/2011 08:00,1.32
12.01.2011 08:00,1.42
12.02.2011 08:00,1.5
12.03.2011 08:00,1.6
12.04.2011 08:00,1.82
12.05.2011 08:00,1.95
12.06.2011 08:00,1.62
12.07.2011 08:00,1.41
12.08.2011 08:00,1.25
12.09.2011 08:00,1.19
12.10.2011 08:00,1.35
12.11.2011 08:00,1.52
12.12.2011 08:00,1.64
12/13/2011 08:00,1.69
12/14/2011 08:00,2.03
12/15/2011 08:00,2.12
12/16/2011 08:00,2.3
12/17/2011 08:00,2.18
12/18/2011 08:00,2.25
12/19/2011 08:00,2.23
12/20/2011 08:00,2.29
12/21/2011 08:00,2.37
12/22/2011 08:00,2.32
12/23/2011 08:00,2.05
12/24/2011 08:00,2.09
12/25/2011 08:00,2.08
12/26/2011 08:00,2.19
12/27/2011 08:00,2.38
12/28/2011 08:00,2.22
12/29/2011 08:00,2.29
12/30/2011 08:00,2.42
12/31/2011 08:00,2.31
1.01.2012 08:00,2.25
